"Continent","Country","City","State/Province","Airport Name","ICAO","IATA","Channel Description","Stream URL","Webcam URL","NearbyICAOs"
"Africa","Ethiopia","Addis Ababa","","Bole International Airport","HAAB","ADD","HAAB Approach","https://www.liveatc.net/play/haab2_app.pls","",""
"Africa","Ethiopia","Addis Ababa","","Bole International Airport","HAAB","ADD","HAAB Tower","https://www.liveatc.net/play/haab2_twr.pls","",""
"Africa","Mauritius","Plaine Magnien","","Sir Seewoosagur Ramgoolam International Airport","FIMP","MRU","Tower/Approach/Control #1","https://www.liveatc.net/play/fimp.pls","",""
"Africa","Mauritius","Plaine Magnien","","Sir Seewoosagur Ramgoolam International Airport","FIMP","MRU","Tower/Approach/Control #2","https://www.liveatc.net/play/fimp2.pls","",""
"Africa","Reunion","Sainte-Marie","","Rolland Garros Airport","FMEE","RUN","Approach/Departure","https://www.liveatc.net/play/fmee3.pls","",""
"Asia","Bahrain","Muharraq","","Bahrain International Airport","OBBI","BAH","OBBI Gnd/Twr/App","https://www.liveatc.net/play/obbi.pls","",""
"Asia","Hong Kong","Hong Kong","","Hong Kong International - Chek Lap Kok","VHHH","HKG","Approach/Departure/Dir/Zone","https://www.liveatc.net/play/vhhh5.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF App/Radar","https://www.liveatc.net/play/rjff3_app1.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Control (Misc)","https://www.liveatc.net/play/rjff3_ctl.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Del/Gnd/TCA","https://www.liveatc.net/play/rjff3_app2.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Departure","https://www.liveatc.net/play/rjff3_dep.pls","https://youtu.be/cTD7nITGhE0",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Tower","https://www.liveatc.net/play/rjff3_twr.pls","https://youtu.be/cTD7nITGhE0",""
"Asia","Japan","Osaka","","Osaka International Airport","RJOO","ITM","Tower","https://www.liveatc.net/play/rjoo1.pls","https://youtu.be/KuTnm6CSqag",""
"Asia","Japan","Sukagawa","","Fukushima Airport","RJSF","FKS","RDO","https://www.liveatc.net/play/rjsf.pls","https://youtu.be/NKaZnV5V-AQ",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Approach","https://www.liveatc.net/play/rjaa_app_s.pls","https://youtu.be/ZIHxOzhFFUc",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA ATIS","https://www.liveatc.net/play/rjaa_atis.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Clearance Delivery","https://www.liveatc.net/play/rjaa_del.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Clearance Delivery #1","https://www.liveatc.net/play/rjaa_del1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Clearance Delivery #2","https://www.liveatc.net/play/rjaa_del2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Company Channels","https://www.liveatc.net/play/rjaa_co.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Departure","https://www.liveatc.net/play/rjaa_dep.pls","https://youtu.be/ZIHxOzhFFUc",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Departure #1","https://www.liveatc.net/play/rjaa_dep1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Departure #2","https://www.liveatc.net/play/rjaa_dep2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Emergency/Guard","https://www.liveatc.net/play/rjaa_guard.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ground #1","https://www.liveatc.net/play/rjaa_gnd1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ground #2","https://www.liveatc.net/play/rjaa_gnd2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 119.025","https://www.liveatc.net/play/rjaa_rdr3.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 120.2","https://www.liveatc.net/play/rjaa_rdr.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 120.6","https://www.liveatc.net/play/rjaa_rdr2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 132.1","https://www.liveatc.net/play/rjaa_rdr4.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 133.35","https://www.liveatc.net/play/rjaa_rdr5.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ramp #1","https://www.liveatc.net/play/rjaa_ramp1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ramp #2","https://www.liveatc.net/play/rjaa_ramp2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA TCA","https://www.liveatc.net/play/rjaa_tca.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tokyo Control","https://www.liveatc.net/play/rjaa_control1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tower (Both)","https://www.liveatc.net/play/rjaa_twr.pls","https://youtu.be/ZIHxOzhFFUc",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tower #1","https://www.liveatc.net/play/rjaa_twr1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tower #2","https://www.liveatc.net/play/rjaa_twr2.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","Ground","https://www.liveatc.net/play/rjtt_gnd.pls","",""
