"Continent","Country","City","State/Province","Airport Name","ICAO","IATA","Channel Description","Stream URL","Webcam URL","NearbyICAOs"
"Africa","Ethiopia","Addis Ababa","","Bole International Airport","HAAB","ADD","HAAB Approach","https://www.liveatc.net/play/haab2_app.pls","",""
"Africa","Ethiopia","Addis Ababa","","Bole International Airport","HAAB","ADD","HAAB Tower","https://www.liveatc.net/play/haab2_twr.pls","",""
"Africa","Kenya","Mombasa","Mombasa","Mombasa Moi International Airport","HKMO","MBA","HKMO Gnd/Twr/App/Radar","https://www.liveatc.net/play/hkmo2.pls","",""
"Africa","Mauritius","Plaine Magnien","","Sir Seewoosagur Ramgoolam International Airport","FIMP","MRU","FIMP Twr/App/Ctr #2","https://www.liveatc.net/play/fimp2.pls","",""
"Asia","Hong Kong","Hong Kong","","Hong Kong International - Chek Lap Kok","VHHH","HKG","VHHH App/Dep/Dir/Zone","https://www.liveatc.net/play/vhhh5.pls","",""
"Asia","Hong Kong","Hong Kong","","Hong Kong International - Chek Lap Kok","VHHH","HKG","VHHH Del/Gnd/Twr/Dir/Misc","https://www.liveatc.net/play/vhhh9.pls","",""
"Asia","Indonesia","Jakarta","","Soekarno-Hatta International Airport","WIII","CGK","Jakarta Radar","https://www.liveatc.net/play/wiii_dep_119750.pls","",""
"Asia","Indonesia","Jakarta","","Soekarno-Hatta International Airport","WIII","CGK","WIII Tower 1","https://www.liveatc.net/play/wiii_twr_120250.pls","",""
"Asia","Indonesia","Jakarta","","Soekarno-Hatta International Airport","WIII","CGK","WIII Tower 2","https://www.liveatc.net/play/wiii_twr_118200.pls","",""
"Asia","Israel","Herzliya","Tel-Aviv","Herzliya Airport","LLHZ","","LLHZ Ground","https://www.liveatc.net/play/llhz2_gnd.pls","","LLBG"
"Asia","Israel","Herzliya","Tel-Aviv","Herzliya Airport","LLHZ","","LLHZ Tower","https://www.liveatc.net/play/llhz2_twr.pls","","LLBG"
"Asia","Israel","Jerusalem","","Ben Gurion International Airport","LLBG","TLV","LLBG Gnd/Twr/App","https://www.liveatc.net/play/llbg2.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF App/Radar","https://www.liveatc.net/play/rjff3_app1.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Control (Misc)","https://www.liveatc.net/play/rjff3_ctl.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Del/Gnd/TCA","https://www.liveatc.net/play/rjff3_app2.pls","",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Departure","https://www.liveatc.net/play/rjff3_dep.pls","https://youtu.be/cTD7nITGhE0",""
"Asia","Japan","Fukuoka","","Fukuoka Airport","RJFF","FUK","RJFF Tower","https://www.liveatc.net/play/rjff3_twr.pls","https://youtu.be/cTD7nITGhE0",""
"Asia","Japan","Miyazaki","","Miyazaki Airport","RJFM","KMI","RJFM Tower","https://www.liveatc.net/play/rjfm_twr_118300.pls","",""
"Asia","Japan","Osaka","","Osaka International Airport","RJOO","ITM","RJOO Tower","https://www.liveatc.net/play/rjoo1.pls","",""
"Asia","Japan","Sukagawa","","Fukushima Airport","RJSF","FKS","RJSF RDO","https://www.liveatc.net/play/rjsf.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Approach","https://www.liveatc.net/play/rjaa_app_s.pls","https://youtu.be/ZIHxOzhFFUc",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA ATIS","https://www.liveatc.net/play/rjaa_atis.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Clearance Delivery","https://www.liveatc.net/play/rjaa_del.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Clearance Delivery #1","https://www.liveatc.net/play/rjaa_del1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Clearance Delivery #2","https://www.liveatc.net/play/rjaa_del2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Company Channels","https://www.liveatc.net/play/rjaa_co.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Departure","https://www.liveatc.net/play/rjaa_dep.pls","https://youtu.be/ZIHxOzhFFUc",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Departure #1","https://www.liveatc.net/play/rjaa_dep1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Departure #2","https://www.liveatc.net/play/rjaa_dep2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Emergency/Guard","https://www.liveatc.net/play/rjaa_guard.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ground #1","https://www.liveatc.net/play/rjaa_gnd1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ground #2","https://www.liveatc.net/play/rjaa_gnd2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 119.025","https://www.liveatc.net/play/rjaa_rdr3.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 120.2","https://www.liveatc.net/play/rjaa_rdr.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 120.6","https://www.liveatc.net/play/rjaa_rdr2.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 132.1","https://www.liveatc.net/play/rjaa_rdr4.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Radar 133.35","https://www.liveatc.net/play/rjaa_rdr5.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ramp #1","https://www.liveatc.net/play/rjaa_ramp1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Ramp #2","https://www.liveatc.net/play/rjaa_ramp2.pls","",""
